Дата операции;Дата обработки;Название операции;Сумма операции в валюте карты;Комиссия в валюте карты;Сумма операции в валюте операции;Валюта операции;Категория;Место операции
27.06.2024 18:57;28.06.2024;Покупка RUS s. Schastlivo IP Ziyadinova E. E.;-1523.00;0.00;-1523.00;RUR;Супермаркеты;
29.06.2024 00:00;30.06.2024;Прочие зачисления Проценты на остаток по карте;309.21;0.00;309.21;RUR;;
29.06.2024 10:53;01.07.2024;Оплата услуг Публичное акционерное общество "Мобильные ТелеСистемы";-1200.00;0.00;-1200.00;RUR;Другое;
29.06.2024 12:55;01.07.2024;Покупка RUS BAHCHISARAJ BAGIRA BAKHCHISARAI;-1474.00;0.00;-1474.00;RUR;Животные;
29.06.2024 12:59;01.07.2024;Выдача наличных RUS BAKHCHISARAJ ATM-9075;-2900.00;0.00;-2900.00;RUR;Наличные;
29.06.2024 13:28;01.07.2024;Покупка RUS BAKHCHISARAJ MAGAZIN KHM;-2459.00;0.00;-2459.00;RUR;Супермаркеты;
29.06.2024 14:15;01.07.2024;Списание по переводу С-А МАЙРЕ С;-8500.00;0.00;-8500.00;RUR;Финансовые услуги;
29.06.2024 15:29;01.07.2024;Покупка RUS s. Golubinka Magazin Koidesh;-402.00;0.00;-402.00;RUR;Супермаркеты;
29.06.2024 15:33;01.07.2024;Покупка RUS s. Golubinka Magazin Koidesh;-223.00;0.00;-223.00;RUR;Супермаркеты;
29.06.2024 15:37;01.07.2024;Покупка RUS Golubinka Bakaleia;-743.00;0.00;-743.00;RUR;Супермаркеты;
29.06.2024 15:40;01.07.2024;Покупка RUS Golubinka Minimarket;-714.00;0.00;-714.00;RUR;Супермаркеты;
29.06.2024 15:51;01.07.2024;Покупка RUS AROMAT PRODUKTY;-474.00;0.00;-474.00;RUR;Супермаркеты;
30.06.2024 13:41;01.07.2024;Покупка RUS s. Schastlivo IP Ziyadinova E. E.;-2014.00;0.00;-2014.00;RUR;Супермаркеты;
30.06.2024 13:54;01.07.2024;Покупка RUS c. Schastlivo IP Mustafaeva L.T.;-1064.00;0.00;-1064.00;RUR;Супермаркеты;
30.06.2024 22:19;01.07.2024;Комиссия за СБП перевод;0.00;-60.04;-60.04;RUR;;
30.06.2024 22:19;01.07.2024;Списание перевода СБП;-53188.00;0.00;-53188.00;RUR;Другое;
02.07.2024 12:48;03.07.2024;Покупка RUS c. Schastlivo IP Mustafaeva L.T.;-530.00;0.00;-530.00;RUR;Супермаркеты;
02.07.2024 16:21;02.07.2024;Оплата услуг Индивидуальный предприниматель Хорошилов Владимир Дмитриевич;-750.00;0.00;-750.00;RUR;Другое;
03.07.2024 05:57;03.07.2024;Комиссия за ежемесячное СМС информирование клиента;0.00;-49.00;-49.00;RUR;;
03.07.2024 16:53;03.07.2024;Customer to Business;-1500.00;0.00;-1500.00;RUR;Другое;
03.07.2024 19:08;04.07.2024;Покупка RUS GOLUBINKA MAGAZIN SUPERMARKET;-828.00;0.00;-828.00;RUR;Супермаркеты;
03.07.2024 19:22;04.07.2024;Покупка RUS s. Golubinka AZS "ATAN 62";-3749.67;0.00;-3749.67;RUR;Топливо;
03.07.2024 19:32;04.07.2024;Покупка RUS s. Golubinka Magazin Koidesh;-500.00;0.00;-500.00;RUR;Супермаркеты;
03.07.2024 19:41;04.07.2024;Покупка RUS GOLUBINKA MAGAZIN "EDAVODA";-2283.74;0.00;-2283.74;RUR;Супермаркеты;
03.07.2024 19:46;04.07.2024;Покупка RUS Golubinka Bakaleia;-740.00;0.00;-740.00;RUR;Супермаркеты;
03.07.2024 19:47;04.07.2024;Покупка RUS s. Golubinka Minimarket;-210.00;0.00;-210.00;RUR;Супермаркеты;
03.07.2024 20:15;04.07.2024;Покупка RUS s. Schastlivo IP Ziyadinova E. E.;-173.00;0.00;-173.00;RUR;Супермаркеты;
03.07.2024 20:19;04.07.2024;Покупка RUS c. Schastlivo IP Mustafaeva L.T.;-209.00;0.00;-209.00;RUR;Супермаркеты;
04.07.2024 00:26;04.07.2024;Списание по переводу З-В ЭНВЕР О;-2400.00;0.00;-2400.00;RUR;Финансовые услуги;
04.07.2024 19:13;04.07.2024;Покупка RUS s. Schastlivo IP Ziyadinova E. E.;596.00;0.00;596.00;RUR;;
